DOI,sensor type (gas/liquid),detect target,lower detection limit (log ppm),upper detection limit (log ppm),probe material,test operating temperature (celcius),pH value (-1 for gas detect),test medium/electrolyte
10.1021/acsnano.6b03127,gas,2-methylpentane,2.574031268,,heptanoyl chloride,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,2-ethyl-1-hexanol,-1.180456064,,heptanoyl chloride,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,propanal,0.602059991,,heptanoyl chloride,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,pentanal,-0.48148606,,heptanoyl chloride,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,acetone,2.176091259,,heptanoyl chloride,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,2-propenenitrile,-2.22184875,,(3-aminopropyl)triethoxysilane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,furfural,-2,,(3-aminopropyl)triethoxysilane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,6-methyl-5-heptene-2-one,-0.823908741,,(3-aminopropyl)triethoxysilane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,pentane,0.477121255,,(3-aminopropyl)triethoxysilane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,heptane,1.602059991,,(3-aminopropyl)triethoxysilane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,decane,-0.522878745,,(3-aminopropyl)triethoxysilane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,2-methylpentane,2,,(3-aminopropyl)triethoxysilane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,2-ethyl-1-hexanol,-0.698970004,,(3-aminopropyl)triethoxysilane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,propanal,0.602059991,,(3-aminopropyl)triethoxysilane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,pentanal,0.301029996,,(3-aminopropyl)triethoxysilane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,acetone,1.477121255,,(3-aminopropyl)triethoxysilane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,2-propenenitrile,0.954242509,,anthracene,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,furfural,-0.522878745,,anthracene,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,6-methyl-5-heptene-2-one,-2,,anthracene,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,pentane,-0.346787486,,anthracene,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,heptane,1.397940009,,anthracene,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,decane,-0.823908741,,anthracene,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,2-methylpentane,1,,anthracene,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,2-ethyl-1-hexanol,-1,,anthracene,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,propanal,1.397940009,,anthracene,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,pentanal,-0.22184875,,anthracene,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,acetone,1.819543936,,anthracene,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,2-propenenitrile,1.477121255,,3-bromopropyltrichlorosilane ,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,furfural,0.176091259,,3-bromopropyltrichlorosilane ,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,6-methyl-5-heptene-2-one,-2,,3-bromopropyltrichlorosilane ,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,pentane,0.954242509,,3-bromopropyltrichlorosilane ,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,heptane,0.477121255,,3-bromopropyltrichlorosilane ,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,decane,-0.301029996,,3-bromopropyltrichlorosilane ,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,2-methylpentane,2.51851394,,3-bromopropyltrichlorosilane ,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,2-ethyl-1-hexanol,-1.698970004,,3-bromopropyltrichlorosilane ,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,propanal,1.77815125,,3-bromopropyltrichlorosilane ,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,pentanal,-0.124938737,,3-bromopropyltrichlorosilane ,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,acetone,1.653212514,,3-bromopropyltrichlorosilane ,25,-1,oxygen/nitrogen
10.1002/adfm.201700999,gas,ammonia,-2,1,poly(methyl methacrylate),25,-1,nitrogen
10.1016/j.snb.2015.11.005,gas,ammonia,0.698970004,1.698970004,poly(3-hexylthiophene)/polystyrene,25,-1,oxygen/nitrogen
10.1002/adma.201204509,gas,sulfur dioxide,-0.301029996,1.301029996,copper(ii) phthalocyanine,25,-1,nitrogen
10.1021/jz200087w,gas,nitrogen dioxide,2,,graphene,25,-1,oxygen/nitrogen
10.1021/jz200087w,gas,ammonia,-4,,graphene,25,-1,oxygen/nitrogen
10.1007/s10854-020-04101-3,liquid,h+,-6.5,-3.5,graphene,25,,sodium chloride/magnesium sulfate/water
10.1126/sciadv.1602557,gas,hydrogen sulfide,-3,1,palladium/gold,25,-1,oxygen/nitrogen
10.1021/nn103324p,liquid,"2,4,6-trinitrotoluene",-9.643725499,-1.643725499,tryptophan/histidine,25,7,water
10.1088/0957-4484/21/48/485502,gas,nitrogen dioxide,1.096910013,,cupric oxide,25,-1,argon
10.1002/adfm.201701117,gas,ammonia,-3,2,polyethyleneimine,25,-1,oxygen/nitrogen
10.1021/am101259t,gas,carbon monoxide,-0.698970004,0.698970004,gold,25,-1,oxygen/nitrogen
10.1109/MEMSYS.2014.6765828,liquid,h+,-6,0,hafnium dioxide,25,,water
10.1021/nn201184c,gas,hexane,1.740362689,2.397940009,hexyltrichlorosilane,25,-1,oxygen/nitrogen
10.1021/nn201184c,gas,octane,1.740362689,2.181843588,hexyltrichlorosilane,25,-1,oxygen/nitrogen
10.1021/nn201184c,gas,decane,1.77815125,2.041392685,hexyltrichlorosilane,25,-1,oxygen/nitrogen
10.1021/nn201184c,gas,water,2.769007871,,hexyltrichlorosilane,25,-1,oxygen/nitrogen
10.1021/nn201184c,gas,ethanol,1.77815125,1.977723605,hexyltrichlorosilane,25,-1,oxygen/nitrogen
10.1021/nn201184c,gas,n-butanol,1.698970004,2.06069784,hexyltrichlorosilane,25,-1,oxygen/nitrogen
10.1021/nn201184c,gas,hexanol,1.176091259,2.06069784,hexyltrichlorosilane,25,-1,oxygen/nitrogen
10.1016/j.snb.2009.11.067,gas,hydrogen,0.698970004,4.698970004,palladium,25,-1,oxygen/nitrogen
10.1016/j.snb.2010.07.051,gas,carbon monoxide,0,0.698970004,zinc oxide/indium oxide,25,-1,nitrogen
10.1002/adfm.201700018,gas,ammonia,-2,1,"dinaphtho[2,3-b:2',3'-f]thieno[3,2-b]thiophene",25,-1,oxygen/nitrogen
10.1021/nl401498t,gas,carbon monoxide,-0.301029996,2,gold,25,-1,oxygen/nitrogen
10.1016/j.snb.2012.06.010,gas,ammonia,-1,1.397940009,poly(3-hexylthiophene),27,-1,oxygen/nitrogen
10.1007/s12274-016-1291-7,gas,nitrogen dioxide,2.477121255,,molybdenum diselenide,25,-1,nitrogen
10.1002/adma.201701706,gas,nitrogen dioxide,-0.381951903,1.477121255,copper phthalocyanine,25,-1,oxygen/nitrogen
10.1021/nn303795r,liquid,potassium chloride,2.872455221,4.872455221,hafnium oxide,25,6,potassium chloride/water
10.1039/c1nr10270b,gas,nitrogen dioxide,2,,graphene/phenol/ethylene oxide/benzoic acid,25,-1,oxygen/nitrogen
10.1016/j.snb.2013.03.089,gas,hydrogen,1.698970004,2.477121255,palladium,75,-1,oxygen/nitrogen
10.1002/adma.201303281,liquid,sodium chloride,-1.233289793,3.766710207,polyvinyl chloride,25,7,water
10.1021/nn401998r,liquid,dopamine,-12.81479793,,carbon nanotube,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.snb.2012.06.060,gas,ammonia,1,2,pentacene,25,-1,oxygen/nitrogen
10.1002/adma.201405378,liquid,melamine,-2,3,quinquethiophene,25,7,water
10.1021/acsami.6b00471,gas,ammonia,1,2,"poly(2,5-bis(3-tetradecylthiophen-2-yl)thieno[3,2-b]thiophene)",25,-1,oxygen/nitrogen
10.1002/anie.201916397,gas,ammonia,-4,0,di-n-octyl phthalate-d4,25,-1,oxygen/nitrogen
10.1016/j.bios.2011.04.045,liquid,cortisol,-6,0,hydrocortisone 3-(o-carboxymethyl)oxime,25,7.2,sodium phosphate/ calcium chloride/ potassium chloride/sodium chloride/ mucin/urea/water
10.1021/nn203653h,gas,decane,1.230448921,1.880813592,hexyltrichlorosilane,25,-1,oxygen/nitrogen
10.1021/acsnano.5b05211,liquid,adenosine triphosphate,-2.294837881,0.705162119,polypyrrole,25,7,water
10.1021/acsami.7b01833,gas,water,2.188720479,2.785579276,phosphorus,25,-1,oxygen/nitrogen
10.1016/j.orgel.2010.02.007,gas,nitrogen monoxide,-1,0.431363764,iron(iii) tetraphenylporphyrin chloride,25,-1,oxygen/nitrogen
10.1021/ac403770x,liquid,hydrogen peroxide,-5.468333355,-2.468333355,graphene/phenol/ethylene oxide/benzoic acid/polypyrrole,25,7,water
10.1002/adma.201305011,gas,ammonia,0,,polydimethylsiloxane,25,-1,oxygen/nitrogen
10.1002/adma.201305011,gas,hcl,1,,polydimethylsiloxane,25,-1,oxygen/nitrogen
10.1002/adma.201305011,gas,nitrogen dioxide,1,2.477121255,polydimethylsiloxane,25,-1,oxygen/nitrogen
10.1002/adma.201908385,gas,ammonia,-2,0.698970004,ruthenium,25,-1,oxygen/nitrogen
10.1002/adma.201908385,gas,hydrogen sulfide,-2,0.698970004,silver,25,-1,oxygen/nitrogen
10.1007/s12274-014-0658-x,liquid,hg2+,-5.220565137,2.302313609,molybdenum disulfide,25,7,water
10.1016/j.chempr.2017.08.015,liquid,amphetamine,-6.868991187,-0.868991187,cucurbit[7]uril,25,7,water
10.1021/acsnano.0c06996,gas,nitrogen dioxide,-3.823908741,0,molybdenum disulfide,25,-1,oxygen/nitrogen
10.1016/j.snb.2018.03.164,gas,ammonia,4.397940009,5.301029996,graphene,25,-1,argon
10.1021/acs.langmuir.7b02466,gas,ammonia,-2.096910013,1.397940009,poly(3-hexylthiophene),26,-1,oxygen/nitrogen
10.1016/j.carbon.2019.10.073,gas,nitrogen dioxide,-1,2,carbon nanotube,20,-1,nitrogen
10.1021/acsnano.7b00628,liquid,glucose,-8.899253229,0.255648731,3-aminophenylboronic acid,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/acs.analchem.6b03208,liquid,nitrogen monoxide,-7.522734005,-2.522734005,meso-tetra(4-carboxyphenyl)porphine/iron(iii) chloride,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.orgel.2011.12.015,liquid,potassium chloride,-3.127544779,1.872455221,valinomycin,25,8.6,tris-(hydroxymethyl)-aminomethane/water
10.1021/acsanm.9b01133,gas,nitrogen dioxide,1.029383778,,gallium sulfide,150,-1,nitrogen
10.1021/acssensors.8b00792,gas,acetone,0.698970004,2.301029996,zinc oxide,350,-1,oxygen/nitrogen
10.1016/j.snb.2016.04.010,gas,nitrogen dioxide,0,1.204119983,zinc oxide,180,-1,oxygen/nitrogen
10.1016/j.snb.2016.04.010,gas,hydrogen sulfide,0,1.204119983,zinc oxide,180,-1,oxygen/nitrogen
10.1016/j.orgel.2013.09.018,gas,ammonia,0,2,pentacene,25,-1,oxygen/nitrogen
10.1021/acssensors.9b02318,gas,nitrogen dioxide,-1,0.698970004,parylene c,25,-1,oxygen/nitrogen
10.1002/adma.200903305,gas,ethyl acetate,2.301029996,3.477121255,calix[8]arene,25,-1,oxygen/nitrogen
10.1088/0957-4484/22/40/405501,liquid,h+,-7,-1,hafnium dioxide,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.snb.2011.02.049,gas,ethanol,3,,poly(ethylene-co-vinyl acetate),30,-1,oxygen/nitrogen
10.1016/j.snb.2011.02.049,gas,ethyl acetate,3,,poly(ethylene-co-vinyl acetate),30,-1,oxygen/nitrogen
10.1021/nl404289z,gas,nitrogen dioxide,-3.698970004,0.301029996,tin(iv) oxide,25,-1,oxygen/nitrogen
10.1109/JSEN.2011.2121901,gas,ammonia,-0.301029996,0.698970004,pentacene,25,-1,oxygen/nitrogen
10.1016/j.snb.2012.09.084,gas,hydrogen sulfide,2,2.698970004,copper phthalocyanine,25,-1,oxygen/nitrogen
10.1109/TED.2017.2776144,liquid,h+,-6,0,hafnium dioxide,25,,water
10.1016/j.orgel.2015.05.022,gas,nitrogen dioxide,-1,1,pentacene,25,-1,nitrogen
10.1016/j.bios.2010.07.017,liquid,"2,4,6-trinitrotoluene",-3.301029996,0.698970004,ovalbumin,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1002/adfm.201501587,liquid,acetylcholine,-6.835030646,4.164969354,perhydroxycucurbit[6]uril,25,7,water
10.1016/j.snb.2012.12.059,gas,hydrogen,1,3,platinum,300,-1,oxygen/nitrogen
10.1021/acsami.0c15162,gas,nitrogen dioxide,-1.602059991,0,molybdenum disulfide,25,-1,oxygen/nitrogen
10.1088/0957-4484/21/7/075502,gas,ammonia,-1.301029996,0.301029996,polyaniline,25,-1,oxygen/nitrogen
10.1021/acssensors.9b01114,liquid,cu2+,-1.489341605,-0.020820523,nitrilotriacetic acid,25,7,4-(2-hydroxyethyl)-1-piperazineethanesulfonic acid/water
10.1021/am5001954,gas,ammonia,1,2,pentacene,25,-1,nitrogen
10.1002/adfm.201300245,gas,acetic acid,3.176091259,,"benzo[lmn][3,8]phenanthroline-1,3,6,8(2h,7h)-tetrone",25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,acetone,4.068185862,,"benzo[lmn][3,8]phenanthroline-1,3,6,8(2h,7h)-tetrone",25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,isopropylamine,3,,"benzo[lmn][3,8]phenanthroline-1,3,6,8(2h,7h)-tetrone",25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,water,2.04316572,,"benzo[lmn][3,8]phenanthroline-1,3,6,8(2h,7h)-tetrone",25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,dimethyl methylphosphonate,2.903089987,,"benzo[lmn][3,8]phenanthroline-1,3,6,8(2h,7h)-tetrone",25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,hydrogen peroxide,3.579783597,,"benzo[lmn][3,8]phenanthroline-1,3,6,8(2h,7h)-tetrone",25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,hexane,3.414973348,,"benzo[lmn][3,8]phenanthroline-1,3,6,8(2h,7h)-tetrone",25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,toluene,3.380211242,,"benzo[lmn][3,8]phenanthroline-1,3,6,8(2h,7h)-tetrone",25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,acetic acid,3.176091259,,copper(ii) phthalocyanine,25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,acetone,4.068185862,,copper(ii) phthalocyanine,25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,isopropylamine,3,,copper(ii) phthalocyanine,25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,water,2.04316572,,copper(ii) phthalocyanine,25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,dimethyl methylphosphonate,2.903089987,,copper(ii) phthalocyanine,25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,hydrogen peroxide,3.579783597,,copper(ii) phthalocyanine,25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,hexane,3.414973348,,copper(ii) phthalocyanine,25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,toluene,3.380211242,,copper(ii) phthalocyanine,25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,acetic acid,3.176091259,,"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,acetone,4.068185862,,"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,isopropylamine,3,,"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,water,2.04316572,,"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,dimethyl methylphosphonate,2.903089987,,"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,hydrogen peroxide,3.579783597,,"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,hexane,3.414973348,,"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",25,-1,oxygen/nitrogen
10.1002/adfm.201300245,gas,toluene,3.380211242,,"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",25,-1,oxygen/nitrogen
10.1021/cg100538z,gas,water,3.371067862,,zinc oxide,25,-1,nitrogen
10.1016/j.talanta.2014.02.005,gas,methanol,4.113943352,5.875061263,"poly(3,4-ethylenedioxythiophene)",25,-1,oxygen/nitrogen
10.3390/s18020358,gas,nitrogen dioxide,0.301029996,0.698970004,indium oxide/gallium oxide/zinc oxide,25,-1,oxygen/nitrogen
10.1016/j.snb.2013.12.118,gas,ammonia,-0.886056648,3.380211242,graphene,25,-1,oxygen/nitrogen
10.1016/j.electacta.2013.01.029,gas,nitrogen dioxide,-1.602059991,,tin dioxide,25,-1,oxygen/nitrogen
10.1016/j.electacta.2013.01.029,gas,hydrogen,1,,tin dioxide,25,-1,oxygen/nitrogen
10.1016/j.electacta.2013.01.029,gas,ammonia,0.397940009,,tin dioxide,25,-1,oxygen/nitrogen
10.1016/j.snb.2011.06.067,liquid,h+,-7,-1,hafnium dioxide,25,,water
10.1002/adfm.201806244,gas,ammonia,2,3.301029996,"2,3,5,6-tetrafluoro-7,7,8,8-tetracyanoquinodimethane",25,-1,oxygen/nitrogen
10.1021/acssensors.2c00475,gas,triethylamine,-1.853871964,1,platinum,25,-1,oxygen/nitrogen
10.1021/acsami.0c12259,gas,ethanol,0,1.698970004,ytterbium oxide/indium oxide,25,-1,oxygen/nitrogen
10.1021/acsami.7b15093,liquid,dopamine,-10.81479793,3.185202065,platinum,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.snb.2015.09.076,gas,"2,4,6-trinitrotoluene",-3,," cadmium cation/2,6-naphthalenedicarboxylic acid/isonicotinic acid ",25,-1,oxygen/nitrogen
10.1016/j.snb.2015.09.076,gas,"1,3,5-trinitro-1,3,5-triazacyclohexane",-6,," cadmium cation/2,6-naphthalenedicarboxylic acid/isonicotinic acid ",25,-1,oxygen/nitrogen
10.1002/adma.201404707,liquid,methanol,4,,calix[8]arene,25,7,water
10.1063/1.4985708,gas,hydrogen,2.698970004,4.602059991,platinum,25,-1,oxygen/nitrogen
10.1021/nn5064216,liquid,h+,-7,0,hafnium dioxide,25,,water
10.1016/j.snb.2014.06.083,gas,ammonia,0.698970004,2.397940009,poly(methyl methacrylate),25,-1,oxygen/nitrogen
10.1002/adfm.201001560,gas,nitrogen dioxide,-2,0.079181246,zinc oxide,40,-1,oxygen/nitrogen
10.1021/jp409851m,gas,acetone,0.954242509,5.361727836,poly(tetraphenylporphyrin),25,-1,oxygen/nitrogen
10.1016/j.snb.2019.03.046,gas,nitrogen dioxide,0,1.301029996,tin(ii) oxide,25,-1,oxygen/nitrogen
10.1021/nn200262u,liquid,ca2+,-5.698970004,1.301029996,fluo-4-am,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/nl300603v,liquid,sodium chloride,-2.631229801,1.766710207,polydimethylsiloxane,25,7,water
10.1039/c7nr01661a,liquid,sodium arsenite,-7.125402231,-3.125402231,carboxylated polypyrrole,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1002/adfm.201202473,gas,diethyl chlorophosphate,-2,2,"2,1,3-benzothiadiazole/tetrathiafulvalene",25,-1,oxygen/nitrogen
10.1016/j.orgel.2017.05.040,gas,ammonia,-0.393618635,1.903089987,"poly (3, 3‴- dialkylquaterthiophene)",25,-1,oxygen/nitrogen
10.1021/am404328g,gas,hydrogen,1.397940009,3.301029996,palladium,25,-1,oxygen/nitrogen
10.1080/14686996.2016.1257344,liquid,glucose,-0.045381265,3.857708722,poly(2-hydroxyethylmethacrylate-co-vinylphenylboronic acid),25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/am401265z,gas,hexane,1,1.903089987,11-aminoundecyltrimethoxysilane,25,-1,oxygen/nitrogen
10.1021/am401265z,gas,octane,1,1.903089987,11-aminoundecyltrimethoxysilane,25,-1,oxygen/nitrogen
10.1021/am401265z,gas,decane,1,1.903089987,11-aminoundecyltrimethoxysilane,25,-1,oxygen/nitrogen
10.1021/am401265z,gas,ethanol,1,1.903089987,11-aminoundecyltrimethoxysilane,25,-1,oxygen/nitrogen
10.1021/am401265z,gas,hexanol,1,1.903089987,11-aminoundecyltrimethoxysilane,25,-1,oxygen/nitrogen
10.1021/am401265z,gas,octanol,1,1.903089987,11-aminoundecyltrimethoxysilane,25,-1,oxygen/nitrogen
10.1021/am401265z,gas,decanol,1,1.903089987,11-aminoundecyltrimethoxysilane,25,-1,oxygen/nitrogen
10.1016/j.snb.2019.126837,liquid,glucose,2.255648731,3.158738718,ruthenium oxide,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1088/0957-4484/21/18/185501,gas,nitrogen dioxide,-1.301029996,0,carbon nanotube,25,-1,oxygen/nitrogen
10.1007/s12274-014-0489-9,liquid,h+,-5.8,-1.1,hafnium dioxide,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.talanta.2024.125731,liquid,h+,-8,1,hafnium dioxide,25,,bis-tris propane/water
10.1021/acsami.9b15651,gas,nitrogen dioxide,-3.15490196,1.477121255,"poly(3-hexylthiophene-2,5-diyl)",25,-1,oxygen/nitrogen
10.1016/j.snb.2018.10.002,gas,nitrogen dioxide,-0.602059991,1.477121255,"6,13-bis(triisopropylsilylethynyl)pentacene",25,-1,oxygen/nitrogen
10.1109/EDSSC.2013.6628174,liquid,h+,-7,-1,hafnium dioxide/silicon dioxide/silicon nitride,25,,water
10.3390/s24031017,liquid,h+,-7,-1,hafnium dioxide/tin dioxide,25,,water
10.1063/1.4827811 ,gas,dimethyl methylphosphonate,1.698970004,2.477121255,graphene,25,-1,oxygen/nitrogen
10.1039/C8TC06051G,gas,ethanol,1,2,calix[8]arene,25,-1,nitrogen
10.1109/LED.2013.2294722,gas,nitrogen dioxide,0,1.698970004,tin(iv) oxide,180,-1,nitrogen
10.1016/j.snb.2010.04.022,gas,"2,4,6-trinitrotoluene",-2,,copper tetraphenylporphyrin,25,-1,oxygen/nitrogen
10.1002/smll.201403263,liquid,dopamine,-7.814797935,-3.814797935,platinum/carboxylated polypyrrole,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/am5089633,gas,nitrogen dioxide,-1,-0.301029996,silicon/gold,25,-1,oxygen/nitrogen
10.1016/j.orgel.2018.01.041,liquid,glucose,2.954618735,3.732769985,phenylboronic acid,25,8.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.3390/nano14141191,liquid,h+,-9,1,hafnium nitride/hafnium oxide,25,,water
10.1016/j.bios.2018.07.014,liquid,dopamine,-2.212737943,0.486232061,n-[3-(dimethylamino)propyl]methacrylamide/4-vinylphenylboronic acid/ethylene glycol dimethacrylate,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.orgel.2015.04.001,gas,ammonia,2.158362492,3,"poly[2,5-bis(7-decylnonadecyl)pyrrolo[3,4-c]pyrrole-1,4(2h,5h)-dione-(e)-1,2-bis(5-(thiophen-2-yl)selenophen-2-yl)ethene]",25,-1,nitrogen
10.1021/acsami.5b05479,gas,nitrogen dioxide,0,2,tin(iv) oxide,25,-1,oxygen/nitrogen
10.1021/nl400645j,gas,ethanol,-0.301029996,,iron porphyrin,25,-1,oxygen/nitrogen
10.1016/j.snb.2018.02.139,liquid,glucose,-3.744351269,0.255648731,palladium,25,7,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water/sodium hydroxide
10.1016/j.snb.2020.128087,gas,hydrogen sulfide,1.698970004,,indium oxide,180,-1,oxygen/nitrogen
10.1039/c8nr04472d,gas,oxygen,4.698970004,5.477121255,pt/indium oxide,25,-1,nitrogen
10.1016/j.carbon.2015.01.060,gas,nitrogen dioxide,-1.397940009,2.301029996,palladium,25,-1,oxygen/nitrogen
10.18494/SAM.2013.890,liquid,h+,-7,0,hafnium oxide,25,,water
10.1021/acsnano.8b00580,gas,hydrogen,2.698970004,3.698970004,palladium/nickel,25,-1,oxygen/nitrogen
10.1063/1.3360223,gas,oxygen,-1,5.875061263,picene,25,-1,oxygen/nitrogen
10.1021/acsami.8b07838,gas,nitrogen dioxide,-0.856048884,1.477121255,poly(9-vinylcarbazole),25,-1,oxygen/nitrogen
10.1088/0953-8984/28/8/085302,liquid,sodium chloride,1.942801466,3.942801466,graphene,25,7,water
10.1016/j.orgel.2019.01.038,gas,ammonia,0.301029996,1.477121255,graphene/benzoic acid/ethylene oxide/phenol,25,-1,oxygen/nitrogen
10.1149/1.3623421,liquid,h+,-7,1,hafnium oxide,25,,water
10.1021/nn100988t,liquid,hydrogen peroxide,-0.769363351,2.531666645,epigallocatechin gallate,25,7,water
10.1039/c9nr06096k,gas,nitrogen monoxide,-0.958607315,1,"poly(2,5-{2-octyldodecyl}-3,6-diketopyrrolopyrrole-alt-5,5-{2′,5′-di[thien-2-yl]thieno[3,2-b]thiophene})",25,-1,oxygen/nitrogen
10.1002/elan.201100299,gas,hydrogen sulfide,-2.698970004,0,gold,25,-1,oxygen/nitrogen
10.1063/1.3686686,liquid,ethanol,2,2.698970004,copper phthalocyanine,25,7,water
10.1016/j.matchemphys.2012.09.037,gas,hydrogen,3.301029996,,ruthenium dioxide,25,-1,nitrogen
10.1109/JSEN.2015.2480998,gas,nitrogen dioxide,0.698970004,1.397940009,poly(3-hexylthiophene),25,-1,oxygen/nitrogen
10.1021/acsnano.7b02986,liquid,h+,-6,-1,hafnium oxide,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1109/TBCAS.2013.2276013,gas,ammonia,1.301029996,2,"poly(3,3”’-dialkylquaterthiophene)",23,-1,oxygen/nitrogen
10.1021/acsami.8b13317,liquid,glucose,-0.267230015,2.857708722,poly(2-hydroxyethyl methacrylate),25,9,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1039/c8tc02447b,gas,ammonia,-0.397940009,0,"benzothiophene/1,1,3,3-tetramethyldisiloxane/[1]benzothieno[3,2-b][1]benzothiophene",25,-1,oxygen/nitrogen
10.1016/j.apsusc.2011.05.101,gas,ethanol,6,6,graphene,25,-1,oxygen/nitrogen
